@ATTRIBUTE 1	 REAL
@ATTRIBUTE 2	 REAL
@ATTRIBUTE 3	 REAL
@ATTRIBUTE 4	 REAL
@ATTRIBUTE 5	 REAL
@ATTRIBUTE 6	 REAL
@ATTRIBUTE 7	 REAL
@ATTRIBUTE 8	 REAL
@ATTRIBUTE 9	 REAL
@ATTRIBUTE 10	 REAL
@ATTRIBUTE 11	 REAL
@ATTRIBUTE 12	 REAL
@ATTRIBUTE 13	 REAL
@ATTRIBUTE 14	 REAL
@ATTRIBUTE 15	 REAL
@ATTRIBUTE 16	 REAL
@ATTRIBUTE 17	 REAL
@ATTRIBUTE 18	 REAL
@ATTRIBUTE 19	 REAL
@ATTRIBUTE 20	 REAL
@ATTRIBUTE 21	 REAL
@ATTRIBUTE 22	 REAL
@ATTRIBUTE 23	 REAL
@ATTRIBUTE 24	 REAL
@ATTRIBUTE 25	 REAL
@ATTRIBUTE 26	 REAL
@ATTRIBUTE 27	 REAL
@ATTRIBUTE 28	 REAL
@ATTRIBUTE 29	 REAL
@ATTRIBUTE 30	 REAL
@ATTRIBUTE 31	 REAL
@ATTRIBUTE 32	 REAL
@ATTRIBUTE 33	 REAL
@ATTRIBUTE 34	 REAL
@ATTRIBUTE 35	 REAL
@ATTRIBUTE 36	 REAL
@ATTRIBUTE 37	 REAL
@ATTRIBUTE 38	 REAL
@ATTRIBUTE 39	 REAL
@ATTRIBUTE 40	 REAL
@ATTRIBUTE 41	 REAL
@ATTRIBUTE 42	 REAL
@ATTRIBUTE 43	 REAL
@ATTRIBUTE 44	 REAL
@ATTRIBUTE 45	 REAL
@ATTRIBUTE 46	 REAL
@ATTRIBUTE class     {NONE,LOW,HIGH}

0.052893,1.000000,0.750000,1.000000,0.066225,0.000000,0.000000,0.000000,0.000000,0.000000,0.047634,1.000000,0.740506,1.000000,0.058539,0.003995,0.500000,0.400000,0.400000,0.004121,1.000000,1.000000,0.974510,1.000000,0.929240,1.000000,1.000000,0.829951,1.000000,1.000000,0.768123,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,1.000000,0.998377,1.000000,0.333333,0.434783,0.000000,0.396910,0.447368,0.966667,NONE	%docid = GX004-93-7097963 inc = 0.0428115405134536 prob = 0.860366
0.004959,0.000000,0.250000,0.500000,0.006623,0.000000,0.000000,0.000000,0.000000,0.000000,0.004971,0.000000,0.259494,0.521932,0.006639,0.000896,0.714286,0.700000,0.000000,0.001093,0.229604,0.237068,0.200021,0.063318,0.000000,0.000000,0.000000,0.000000,0.310838,0.033799,0.001398,0.025976,0.576917,0.036302,0.001129,0.022642,0.141223,0.212802,0.168053,0.069556,0.333333,0.000000,0.000000,0.019255,0.421053,0.000000,NONE	%docid = GX010-40-4497720 inc = 0.00110683825421716 prob = 0.089706
0.066116,0.750000,0.250000,1.000000,0.074503,0.000000,0.000000,0.000000,0.000000,0.000000,0.061487,0.716563,0.259494,1.000000,0.068044,0.004945,0.285714,0.300000,0.600000,0.005016,0.990081,0.973625,1.000000,0.973218,1.000000,0.878010,0.016022,1.000000,0.485677,0.147968,0.004197,0.113559,0.954513,0.946955,0.998874,0.966838,0.986045,0.963141,1.000000,0.962716,0.666667,0.826087,0.000000,0.045177,0.473684,1.000000,NONE	%docid = GX016-32-14546147 inc = 1 prob = 0.811482
0.026446,0.750000,0.750000,0.500000,0.036424,0.000000,0.000000,0.000000,0.000000,0.000000,0.024116,0.716563,0.702528,0.521932,0.031683,0.007919,1.000000,0.500000,0.200000,0.008170,0.780898,0.659859,0.722056,0.666725,0.428280,0.000000,0.000000,0.000000,0.876585,0.939544,0.664658,0.953860,0.548049,0.000000,0.000000,0.000000,0.843365,0.727569,0.786101,0.725966,0.000000,0.608696,0.000000,1.000000,1.000000,0.266667,LOW	%docid = GX020-25-8391882 inc = 1 prob = 0.115043
0.029752,0.000000,1.000000,1.000000,0.038079,0.000000,0.000000,0.000000,0.000000,0.000000,0.022643,0.000000,1.000000,1.000000,0.029721,0.007543,0.357143,1.000000,0.400000,0.007740,0.825886,0.735769,0.794308,0.735548,0.000000,0.000000,0.000000,0.000000,0.737766,0.830504,1.000000,0.852510,1.000000,1.000000,1.000000,1.000000,0.858094,0.761605,0.818017,0.759069,0.333333,0.956522,0.000000,0.013295,0.052632,0.100000,NONE	%docid = GX025-94-0531672 inc = 1 prob = 0.141903
0.066116,0.000000,0.250000,0.500000,0.067881,0.000000,0.000000,0.000000,0.000000,0.000000,0.060889,0.000000,0.259494,0.521932,0.062613,0.017844,0.428571,0.900000,0.200000,0.018024,0.836522,0.686477,0.924117,0.677412,0.000000,0.000000,0.000000,0.000000,0.263423,0.000000,0.000000,0.000000,0.548049,0.000000,0.000000,0.000000,0.791753,0.655572,0.864037,0.648098,0.000000,0.913043,0.000000,0.008132,0.078947,0.533333,NONE	%docid = GX026-03-13004845 inc = 0.00923990383395518 prob = 0.162346
0.000000,0.000000,0.250000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.259494,0.000000,0.000000,0.000000,0.000000,0.100000,1.000000,0.000000,0.000000,0.470407,0.000000,0.367837,0.000000,0.000000,0.000000,0.000000,0.675712,0.296249,0.005599,0.227130,0.000000,0.000000,0.000000,0.000000,0.000000,0.329330,0.000000,0.150330,1.000000,0.826087,0.000000,0.000000,0.000000,0.000000,NONE	%docid = GX048-02-13747475 inc = 1 prob = 0.0823475
1.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000,1.000000,1.000000,0.071429,0.000000,1.000000,1.000000,0.180271,0.000000,0.315641,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.047918,0.000000,0.219177,0.000000,0.666667,1.000000,0.000000,0.021492,0.184211,0.000000,NONE	%docid = GX268-53-13016636 inc = 0.00187837593235052 prob = 0.0937803
0.003865,0.142857,0.333333,0.500000,0.004972,0.000000,0.000000,0.000000,0.000000,0.000000,0.004151,0.142857,0.333333,0.500000,0.005884,0.004273,0.021277,0.062500,0.095238,0.004000,0.365337,0.200902,0.256010,0.146942,1.000000,0.362813,0.008279,0.236012,0.888747,0.382130,0.364357,0.293102,0.793621,0.551724,0.026166,0.747958,0.386842,0.247781,0.281369,0.181361,0.000000,0.121212,0.000000,0.887007,1.000000,0.052758,NONE	%docid = GX000-11-6487904 inc = 1 prob = 0.112814
0.008835,0.142857,0.333333,0.500000,0.009945,0.000000,0.000000,0.000000,0.000000,0.000000,0.008824,0.142857,0.333333,0.500000,0.010560,0.003900,0.085106,0.375000,0.000000,0.003777,0.762904,0.678893,0.488861,0.868785,0.544656,0.186268,0.006017,0.104341,0.449270,0.153340,0.361991,0.117733,0.877229,0.719508,0.030542,1.000000,0.765505,0.686469,0.502148,0.869165,0.142857,0.000000,0.000000,0.003539,0.001982,0.013189,NONE	%docid = GX000-22-1713857 inc = 1 prob = 0.141189
0.120928,0.142857,0.333333,0.000000,0.121547,0.000000,0.000000,0.000000,0.000000,0.000000,0.119815,0.142857,0.333333,0.000000,0.120825,0.153749,0.255319,0.562500,0.142857,0.154007,0.755540,0.566106,0.698192,0.641718,0.245978,0.000000,0.000000,0.000000,0.346474,0.101614,0.360574,0.078050,0.000000,0.000000,0.000000,0.000000,0.760857,0.582674,0.698732,0.651045,0.285714,0.151515,0.000000,0.029236,0.001982,0.008393,LOW	%docid = GX000-52-8600090 inc = 1 prob = 0.0897452
0.156819,0.142857,0.333333,0.000000,0.157459,0.000000,0.000000,0.000000,0.000000,0.000000,0.152993,0.142857,0.333333,0.000000,0.153542,0.128335,0.063830,0.187500,0.190476,0.128240,0.821227,0.566994,0.745119,0.670173,0.642118,0.222894,0.006770,0.131665,0.638798,0.241821,0.363410,0.185574,0.000000,0.000000,0.000000,0.000000,0.823160,0.583374,0.745532,0.679151,0.285714,0.222222,0.000000,0.000237,0.000991,0.000000,LOW	%docid = GX001-00-5105044 inc = 1 prob = 0.0897452
0.218112,0.285714,0.333333,0.000000,0.219337,0.000000,0.000000,0.000000,0.000000,0.000000,0.216254,0.285714,0.333333,0.000000,0.217611,0.217767,0.297872,0.500000,0.142857,0.218064,0.783012,0.554006,0.712058,0.638314,0.391877,0.036784,0.305970,0.051190,0.375081,0.116636,0.361047,0.089577,0.000000,0.000000,0.000000,0.000000,0.786565,0.570912,0.712515,0.647727,0.285714,0.212121,0.000000,0.014392,0.006938,0.001199,LOW	%docid = GX004-53-15843752 inc = 0.0319188697601707 prob = 0.0946039
0.028713,0.428571,0.333333,0.500000,0.030939,0.000000,0.000000,0.000000,0.000000,0.000000,0.029645,0.428571,0.333333,0.500000,0.032583,0.024668,0.510638,0.312500,0.142857,0.025096,0.584996,0.395650,0.504419,0.468435,0.358369,0.061202,0.487980,0.038508,0.498579,0.176608,0.362464,0.135578,0.757522,0.485143,0.023980,0.647934,0.590183,0.416612,0.508599,0.481063,0.285714,0.171717,0.000000,1.000000,0.362735,0.015588,NONE	%docid = GX005-39-6812626 inc = 0.0161139271070161 prob = 0.0897452
0.024296,0.142857,0.333333,1.000000,0.025967,0.000000,0.000000,0.000000,0.000000,0.000000,0.024288,0.142857,0.333333,1.000000,0.026583,0.018930,0.085106,0.062500,0.285714,0.018835,0.797655,0.631080,0.632601,0.745377,0.544656,0.186268,0.006017,0.104341,0.888747,0.382130,0.364357,0.293102,0.970852,0.962490,0.997817,0.928606,0.803126,0.648904,0.639382,0.755609,0.571429,0.424242,0.000000,0.030443,0.000991,0.003597,LOW	%docid = GX005-40-1622912 inc = 0.0428075921199618 prob = 0.304426
0.066262,0.285714,0.333333,0.000000,0.067403,0.000000,0.000000,0.000000,0.000000,0.000000,0.067003,0.285714,0.333333,0.000000,0.068736,0.051200,0.319149,0.312500,0.190476,0.051435,0.752123,0.519954,0.647139,0.552374,0.371587,0.101320,0.305220,0.044638,0.498579,0.176608,0.362464,0.135578,0.000000,0.000000,0.000000,0.000000,0.754681,0.537057,0.647174,0.562360,0.285714,0.161616,0.000000,0.001393,0.012884,0.000000,LOW	%docid = GX010-03-13004888 inc = 1 prob = 0.148318
0.022639,0.000000,0.333333,0.000000,0.022652,0.000000,0.000000,0.000000,0.000000,0.000000,0.022936,0.000000,0.333333,0.000000,0.023507,0.023476,0.042553,0.937500,0.142857,0.023605,0.707999,0.485572,0.562349,0.521462,0.000000,0.000000,0.000000,0.000000,0.237699,0.036503,0.357748,0.028057,0.000000,0.000000,0.000000,0.000000,0.710042,0.501463,0.562049,0.530413,0.142857,0.171717,0.000000,0.003967,0.000991,0.003597,LOW	%docid = GX010-45-12369258 inc = 0.00979721240474588 prob = 0.0897452
0.240751,0.000000,0.000000,0.000000,0.240331,0.000000,0.000000,0.000000,0.000000,0.000000,0.239442,0.000000,0.000000,0.000000,0.239040,0.148358,0.063830,0.187500,0.238095,0.148292,0.815655,0.537579,0.719250,0.603266,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.816600,0.553609,0.718231,0.612070,0.285714,0.363636,0.000000,0.004394,0.001982,0.002398,LOW	%docid = GX010-85-14507192 inc = 1 prob = 0.507507
0.048040,0.285714,0.333333,0.500000,0.049724,0.000000,0.000000,0.000000,0.000000,0.000000,0.043149,0.285714,0.333333,0.500000,0.045429,0.038257,0.319149,0.625000,0.190476,0.038613,0.908228,0.829829,0.826364,0.853673,0.371587,0.147793,0.305220,0.044638,0.321921,0.061231,0.360103,0.067738,0.724564,0.426418,0.021794,0.559706,0.913519,0.839045,0.829912,0.859667,0.428571,0.272727,0.000000,0.000073,0.012884,0.008393,LOW	%docid = GX014-89-4473554 inc = 0.0294030334989924 prob = 0.154121
